trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Czech,1,BlockType.Homogenous,1,39,39_st_4.wav,11.0
2,2,TrialType.Czech,1,BlockType.Homogenous,1,67,67_st_4.wav,12.0
3,3,TrialType.Czech,1,BlockType.Homogenous,1,26,26_st_4.wav,13.0
4,4,TrialType.Czech,1,BlockType.Homogenous,1,84,84_st_4.wav,14.0
5,5,TrialType.Czech,2,BlockType.Alternating,1,44,44_st_4.wav,21.0
6,6,TrialType.Ostrava,2,BlockType.Alternating,1,4,04_d_4.wav,22.0
7,7,TrialType.Czech,2,BlockType.Alternating,1,53,53_st_4.wav,23.0
8,8,TrialType.Ostrava,2,BlockType.Alternating,1,127,127_d_4.wav,24.0
9,9,TrialType.Ostrava,3,BlockType.Homogenous,1,10,10_d_4.wav,31.0
10,10,TrialType.Ostrava,3,BlockType.Homogenous,1,14,14_d_4.wav,32.0
11,11,TrialType.Ostrava,3,BlockType.Homogenous,1,17,17_d_4.wav,33.0
12,12,TrialType.Ostrava,3,BlockType.Homogenous,1,41,41_d_4.wav,34.0
13,13,TrialType.Ostrava,4,BlockType.Alternating,1,61,61_d_4.wav,41.0
14,14,TrialType.Czech,4,BlockType.Alternating,1,75,75_st_4.wav,42.0
15,15,TrialType.Ostrava,4,BlockType.Alternating,1,58,58_d_4.wav,43.0
16,16,TrialType.Czech,4,BlockType.Alternating,1,126,126_st_4.wav,44.0
17,17,TrialType.Czech,1,BlockType.Homogenous,2,27,27_st_4.wav,11.0
18,18,TrialType.Czech,1,BlockType.Homogenous,2,131,131_st_4.wav,12.0
19,19,TrialType.Czech,1,BlockType.Homogenous,2,122,122_st_4.wav,13.0
20,20,TrialType.Czech,1,BlockType.Homogenous,2,81,81_st_4.wav,14.0
21,21,TrialType.Czech,2,BlockType.Alternating,2,88,88_st_4.wav,21.0
22,22,TrialType.Ostrava,2,BlockType.Alternating,2,43,43_d_4.wav,22.0
23,23,TrialType.Czech,2,BlockType.Alternating,2,112,112_st_4.wav,23.0
24,24,TrialType.Ostrava,2,BlockType.Alternating,2,55,55_d_4.wav,24.0
25,25,TrialType.Ostrava,3,BlockType.Homogenous,2,12,12_d_4.wav,31.0
26,26,TrialType.Ostrava,3,BlockType.Homogenous,2,114,114_d_4.wav,32.0
27,27,TrialType.Ostrava,3,BlockType.Homogenous,2,132,132_d_4.wav,33.0
28,28,TrialType.Ostrava,3,BlockType.Homogenous,2,105,105_d_4.wav,34.0
29,29,TrialType.Ostrava,4,BlockType.Alternating,2,63,63_d_4.wav,41.0
30,30,TrialType.Czech,4,BlockType.Alternating,2,52,52_st_4.wav,42.0
31,31,TrialType.Ostrava,4,BlockType.Alternating,2,11,11_d_4.wav,43.0
32,32,TrialType.Czech,4,BlockType.Alternating,2,117,117_st_4.wav,44.0
33,33,TrialType.Czech,1,BlockType.Homogenous,3,74,74_st_4.wav,11.0
34,34,TrialType.Czech,1,BlockType.Homogenous,3,32,32_st_4.wav,12.0
35,35,TrialType.Czech,1,BlockType.Homogenous,3,5,05_st_4.wav,13.0
36,36,TrialType.Czech,1,BlockType.Homogenous,3,116,116_st_4.wav,14.0
37,37,TrialType.Czech,2,BlockType.Alternating,3,13,13_st_4.wav,21.0
38,38,TrialType.Ostrava,2,BlockType.Alternating,3,103,103_d_4.wav,22.0
39,39,TrialType.Czech,2,BlockType.Alternating,3,25,25_st_4.wav,23.0
40,40,TrialType.Ostrava,2,BlockType.Alternating,3,33,33_d_4.wav,24.0
41,41,TrialType.Ostrava,3,BlockType.Homogenous,3,89,89_d_4.wav,31.0
42,42,TrialType.Ostrava,3,BlockType.Homogenous,3,37,37_d_4.wav,32.0
43,43,TrialType.Ostrava,3,BlockType.Homogenous,3,40,40_d_4.wav,33.0
44,44,TrialType.Ostrava,3,BlockType.Homogenous,3,92,92_d_4.wav,34.0
45,45,TrialType.Ostrava,4,BlockType.Alternating,3,93,93_d_4.wav,41.0
46,46,TrialType.Czech,4,BlockType.Alternating,3,21,21_st_4.wav,42.0
47,47,TrialType.Ostrava,4,BlockType.Alternating,3,80,80_d_4.wav,43.0
48,48,TrialType.Czech,4,BlockType.Alternating,3,16,16_st_4.wav,44.0
49,49,TrialType.Czech,1,BlockType.Homogenous,4,3,03_st_4.wav,11.0
50,50,TrialType.Czech,1,BlockType.Homogenous,4,35,35_st_4.wav,12.0
51,51,TrialType.Czech,1,BlockType.Homogenous,4,30,30_st_4.wav,13.0
52,52,TrialType.Czech,1,BlockType.Homogenous,4,29,29_st_4.wav,14.0
53,53,TrialType.Czech,2,BlockType.Alternating,4,101,101_st_4.wav,21.0
54,54,TrialType.Ostrava,2,BlockType.Alternating,4,31,31_d_4.wav,22.0
55,55,TrialType.Czech,2,BlockType.Alternating,4,8,08_st_4.wav,23.0
56,56,TrialType.Ostrava,2,BlockType.Alternating,4,2,02_d_4.wav,24.0
57,57,TrialType.Ostrava,3,BlockType.Homogenous,4,133,133_d_4.wav,31.0
58,58,TrialType.Ostrava,3,BlockType.Homogenous,4,36,36_d_4.wav,32.0
59,59,TrialType.Ostrava,3,BlockType.Homogenous,4,18,18_d_4.wav,33.0
60,60,TrialType.Ostrava,3,BlockType.Homogenous,4,111,111_d_4.wav,34.0
61,61,TrialType.Ostrava,4,BlockType.Alternating,4,119,119_d_4.wav,41.0
62,62,TrialType.Czech,4,BlockType.Alternating,4,20,20_st_4.wav,42.0
63,63,TrialType.Ostrava,4,BlockType.Alternating,4,120,120_d_4.wav,43.0
64,64,TrialType.Czech,4,BlockType.Alternating,4,56,56_st_4.wav,44.0
