trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Czech,2,BlockType.Alternating,1,27,27_st_4.wav,21.0
2,2,TrialType.Ostrava,2,BlockType.Alternating,1,15,15_d_4.wav,22.0
3,3,TrialType.Czech,2,BlockType.Alternating,1,86,86_st_4.wav,23.0
4,4,TrialType.Ostrava,2,BlockType.Alternating,1,87,87_d_4.wav,24.0
5,5,TrialType.Ostrava,3,BlockType.Homogenous,1,50,50_d_4.wav,31.0
6,6,TrialType.Ostrava,3,BlockType.Homogenous,1,97,97_d_4.wav,32.0
7,7,TrialType.Ostrava,3,BlockType.Homogenous,1,40,40_d_4.wav,33.0
8,8,TrialType.Ostrava,3,BlockType.Homogenous,1,128,128_d_4.wav,34.0
9,9,TrialType.Ostrava,4,BlockType.Alternating,1,43,43_d_4.wav,41.0
10,10,TrialType.Czech,4,BlockType.Alternating,1,30,30_st_4.wav,42.0
11,11,TrialType.Ostrava,4,BlockType.Alternating,1,58,58_d_4.wav,43.0
12,12,TrialType.Czech,4,BlockType.Alternating,1,59,59_st_4.wav,44.0
13,13,TrialType.Czech,1,BlockType.Homogenous,1,96,96_st_4.wav,11.0
14,14,TrialType.Czech,1,BlockType.Homogenous,1,108,108_st_4.wav,12.0
15,15,TrialType.Czech,1,BlockType.Homogenous,1,32,32_st_4.wav,13.0
16,16,TrialType.Czech,1,BlockType.Homogenous,1,9,09_st_4.wav,14.0
17,17,TrialType.Czech,2,BlockType.Alternating,2,29,29_st_4.wav,21.0
18,18,TrialType.Ostrava,2,BlockType.Alternating,2,4,04_d_4.wav,22.0
19,19,TrialType.Czech,2,BlockType.Alternating,2,8,08_st_4.wav,23.0
20,20,TrialType.Ostrava,2,BlockType.Alternating,2,100,100_d_4.wav,24.0
21,21,TrialType.Ostrava,3,BlockType.Homogenous,2,127,127_d_4.wav,31.0
22,22,TrialType.Ostrava,3,BlockType.Homogenous,2,47,47_d_4.wav,32.0
23,23,TrialType.Ostrava,3,BlockType.Homogenous,2,36,36_d_4.wav,33.0
24,24,TrialType.Ostrava,3,BlockType.Homogenous,2,37,37_d_4.wav,34.0
25,25,TrialType.Ostrava,4,BlockType.Alternating,2,111,111_d_4.wav,41.0
26,26,TrialType.Czech,4,BlockType.Alternating,2,77,77_st_4.wav,42.0
27,27,TrialType.Ostrava,4,BlockType.Alternating,2,129,129_d_4.wav,43.0
28,28,TrialType.Czech,4,BlockType.Alternating,2,112,112_st_4.wav,44.0
29,29,TrialType.Czech,1,BlockType.Homogenous,2,51,51_st_4.wav,11.0
30,30,TrialType.Czech,1,BlockType.Homogenous,2,81,81_st_4.wav,12.0
31,31,TrialType.Czech,1,BlockType.Homogenous,2,109,109_st_4.wav,13.0
32,32,TrialType.Czech,1,BlockType.Homogenous,2,26,26_st_4.wav,14.0
33,33,TrialType.Czech,2,BlockType.Alternating,3,5,05_st_4.wav,21.0
34,34,TrialType.Ostrava,2,BlockType.Alternating,3,122,122_d_4.wav,22.0
35,35,TrialType.Czech,2,BlockType.Alternating,3,71,71_st_4.wav,23.0
36,36,TrialType.Ostrava,2,BlockType.Alternating,3,95,95_d_4.wav,24.0
37,37,TrialType.Ostrava,3,BlockType.Homogenous,3,94,94_d_4.wav,31.0
38,38,TrialType.Ostrava,3,BlockType.Homogenous,3,91,91_d_4.wav,32.0
39,39,TrialType.Ostrava,3,BlockType.Homogenous,3,49,49_d_4.wav,33.0
40,40,TrialType.Ostrava,3,BlockType.Homogenous,3,14,14_d_4.wav,34.0
41,41,TrialType.Ostrava,4,BlockType.Alternating,3,85,85_d_4.wav,41.0
42,42,TrialType.Czech,4,BlockType.Alternating,3,56,56_st_4.wav,42.0
43,43,TrialType.Ostrava,4,BlockType.Alternating,3,117,117_d_4.wav,43.0
44,44,TrialType.Czech,4,BlockType.Alternating,3,28,28_st_4.wav,44.0
45,45,TrialType.Czech,1,BlockType.Homogenous,3,104,104_st_4.wav,11.0
46,46,TrialType.Czech,1,BlockType.Homogenous,3,17,17_st_4.wav,12.0
47,47,TrialType.Czech,1,BlockType.Homogenous,3,123,123_st_4.wav,13.0
48,48,TrialType.Czech,1,BlockType.Homogenous,3,19,19_st_4.wav,14.0
49,49,TrialType.Czech,2,BlockType.Alternating,4,6,06_st_4.wav,21.0
50,50,TrialType.Ostrava,2,BlockType.Alternating,4,90,90_d_4.wav,22.0
51,51,TrialType.Czech,2,BlockType.Alternating,4,16,16_st_4.wav,23.0
52,52,TrialType.Ostrava,2,BlockType.Alternating,4,64,64_d_4.wav,24.0
53,53,TrialType.Ostrava,3,BlockType.Homogenous,4,75,75_d_4.wav,31.0
54,54,TrialType.Ostrava,3,BlockType.Homogenous,4,70,70_d_4.wav,32.0
55,55,TrialType.Ostrava,3,BlockType.Homogenous,4,52,52_d_4.wav,33.0
56,56,TrialType.Ostrava,3,BlockType.Homogenous,4,12,12_d_4.wav,34.0
57,57,TrialType.Ostrava,4,BlockType.Alternating,4,33,33_d_4.wav,41.0
58,58,TrialType.Czech,4,BlockType.Alternating,4,125,125_st_4.wav,42.0
59,59,TrialType.Ostrava,4,BlockType.Alternating,4,107,107_d_4.wav,43.0
60,60,TrialType.Czech,4,BlockType.Alternating,4,54,54_st_4.wav,44.0
61,61,TrialType.Czech,1,BlockType.Homogenous,4,35,35_st_4.wav,11.0
62,62,TrialType.Czech,1,BlockType.Homogenous,4,41,41_st_4.wav,12.0
63,63,TrialType.Czech,1,BlockType.Homogenous,4,103,103_st_4.wav,13.0
64,64,TrialType.Czech,1,BlockType.Homogenous,4,23,23_st_4.wav,14.0
