trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Ostrava,4,BlockType.Alternating,1,117,117_d_4.wav,41.0
2,2,TrialType.Czech,4,BlockType.Alternating,1,121,121_st_4.wav,42.0
3,3,TrialType.Ostrava,4,BlockType.Alternating,1,133,133_d_4.wav,43.0
4,4,TrialType.Czech,4,BlockType.Alternating,1,49,49_st_4.wav,44.0
5,5,TrialType.Czech,1,BlockType.Homogenous,1,48,48_st_4.wav,11.0
6,6,TrialType.Czech,1,BlockType.Homogenous,1,104,104_st_4.wav,12.0
7,7,TrialType.Czech,1,BlockType.Homogenous,1,66,66_st_4.wav,13.0
8,8,TrialType.Czech,1,BlockType.Homogenous,1,61,61_st_4.wav,14.0
9,9,TrialType.Czech,2,BlockType.Alternating,1,81,81_st_4.wav,21.0
10,10,TrialType.Ostrava,2,BlockType.Alternating,1,79,79_d_4.wav,22.0
11,11,TrialType.Czech,2,BlockType.Alternating,1,103,103_st_4.wav,23.0
12,12,TrialType.Ostrava,2,BlockType.Alternating,1,24,24_d_4.wav,24.0
13,13,TrialType.Ostrava,3,BlockType.Homogenous,1,13,13_d_4.wav,31.0
14,14,TrialType.Ostrava,3,BlockType.Homogenous,1,58,58_d_4.wav,32.0
15,15,TrialType.Ostrava,3,BlockType.Homogenous,1,39,39_d_4.wav,33.0
16,16,TrialType.Ostrava,3,BlockType.Homogenous,1,19,19_d_4.wav,34.0
17,17,TrialType.Ostrava,4,BlockType.Alternating,2,12,12_d_4.wav,41.0
18,18,TrialType.Czech,4,BlockType.Alternating,2,69,69_st_4.wav,42.0
19,19,TrialType.Ostrava,4,BlockType.Alternating,2,105,105_d_4.wav,43.0
20,20,TrialType.Czech,4,BlockType.Alternating,2,89,89_st_4.wav,44.0
21,21,TrialType.Czech,1,BlockType.Homogenous,2,82,82_st_4.wav,11.0
22,22,TrialType.Czech,1,BlockType.Homogenous,2,6,06_st_4.wav,12.0
23,23,TrialType.Czech,1,BlockType.Homogenous,2,77,77_st_4.wav,13.0
24,24,TrialType.Czech,1,BlockType.Homogenous,2,51,51_st_4.wav,14.0
25,25,TrialType.Czech,2,BlockType.Alternating,2,120,120_st_4.wav,21.0
26,26,TrialType.Ostrava,2,BlockType.Alternating,2,84,84_d_4.wav,22.0
27,27,TrialType.Czech,2,BlockType.Alternating,2,95,95_st_4.wav,23.0
28,28,TrialType.Ostrava,2,BlockType.Alternating,2,124,124_d_4.wav,24.0
29,29,TrialType.Ostrava,3,BlockType.Homogenous,2,108,108_d_4.wav,31.0
30,30,TrialType.Ostrava,3,BlockType.Homogenous,2,21,21_d_4.wav,32.0
31,31,TrialType.Ostrava,3,BlockType.Homogenous,2,80,80_d_4.wav,33.0
32,32,TrialType.Ostrava,3,BlockType.Homogenous,2,2,02_d_4.wav,34.0
33,33,TrialType.Ostrava,4,BlockType.Alternating,3,68,68_d_4.wav,41.0
34,34,TrialType.Czech,4,BlockType.Alternating,3,9,09_st_4.wav,42.0
35,35,TrialType.Ostrava,4,BlockType.Alternating,3,8,08_d_4.wav,43.0
36,36,TrialType.Czech,4,BlockType.Alternating,3,5,05_st_4.wav,44.0
37,37,TrialType.Czech,1,BlockType.Homogenous,3,25,25_st_4.wav,11.0
38,38,TrialType.Czech,1,BlockType.Homogenous,3,31,31_st_4.wav,12.0
39,39,TrialType.Czech,1,BlockType.Homogenous,3,111,111_st_4.wav,13.0
40,40,TrialType.Czech,1,BlockType.Homogenous,3,4,04_st_4.wav,14.0
41,41,TrialType.Czech,2,BlockType.Alternating,3,60,60_st_4.wav,21.0
42,42,TrialType.Ostrava,2,BlockType.Alternating,3,42,42_d_4.wav,22.0
43,43,TrialType.Czech,2,BlockType.Alternating,3,57,57_st_4.wav,23.0
44,44,TrialType.Ostrava,2,BlockType.Alternating,3,76,76_d_4.wav,24.0
45,45,TrialType.Ostrava,3,BlockType.Homogenous,3,26,26_d_4.wav,31.0
46,46,TrialType.Ostrava,3,BlockType.Homogenous,3,67,67_d_4.wav,32.0
