trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Czech,1,BlockType.Homogenous,1,100,100_st_4.wav,11.0
2,2,TrialType.Czech,1,BlockType.Homogenous,1,109,109_st_4.wav,12.0
3,3,TrialType.Czech,1,BlockType.Homogenous,1,11,11_st_4.wav,13.0
4,4,TrialType.Czech,1,BlockType.Homogenous,1,67,67_st_4.wav,14.0
5,5,TrialType.Czech,2,BlockType.Alternating,1,126,126_st_4.wav,21.0
6,6,TrialType.Ostrava,2,BlockType.Alternating,1,52,52_d_4.wav,22.0
7,7,TrialType.Czech,2,BlockType.Alternating,1,119,119_st_4.wav,23.0
8,8,TrialType.Ostrava,2,BlockType.Alternating,1,102,102_d_4.wav,24.0
9,9,TrialType.Ostrava,3,BlockType.Homogenous,1,108,108_d_4.wav,31.0
10,10,TrialType.Ostrava,3,BlockType.Homogenous,1,39,39_d_4.wav,32.0
11,11,TrialType.Ostrava,3,BlockType.Homogenous,1,62,62_d_4.wav,33.0
12,12,TrialType.Ostrava,3,BlockType.Homogenous,1,46,46_d_4.wav,34.0
13,13,TrialType.Ostrava,4,BlockType.Alternating,1,75,75_d_4.wav,41.0
14,14,TrialType.Czech,4,BlockType.Alternating,1,116,116_st_4.wav,42.0
15,15,TrialType.Ostrava,4,BlockType.Alternating,1,118,118_d_4.wav,43.0
16,16,TrialType.Czech,4,BlockType.Alternating,1,28,28_st_4.wav,44.0
17,17,TrialType.Czech,1,BlockType.Homogenous,2,65,65_st_4.wav,11.0
18,18,TrialType.Czech,1,BlockType.Homogenous,2,18,18_st_4.wav,12.0
19,19,TrialType.Czech,1,BlockType.Homogenous,2,37,37_st_4.wav,13.0
20,20,TrialType.Czech,1,BlockType.Homogenous,2,120,120_st_4.wav,14.0
21,21,TrialType.Czech,2,BlockType.Alternating,2,97,97_st_4.wav,21.0
22,22,TrialType.Ostrava,2,BlockType.Alternating,2,13,13_d_4.wav,22.0
23,23,TrialType.Czech,2,BlockType.Alternating,2,80,80_st_4.wav,23.0
24,24,TrialType.Ostrava,2,BlockType.Alternating,2,104,104_d_4.wav,24.0
25,25,TrialType.Ostrava,3,BlockType.Homogenous,2,33,33_d_4.wav,31.0
26,26,TrialType.Ostrava,3,BlockType.Homogenous,2,69,69_d_4.wav,32.0
27,27,TrialType.Ostrava,3,BlockType.Homogenous,2,91,91_d_4.wav,33.0
28,28,TrialType.Ostrava,3,BlockType.Homogenous,2,105,105_d_4.wav,34.0
29,29,TrialType.Ostrava,4,BlockType.Alternating,2,78,78_d_4.wav,41.0
30,30,TrialType.Czech,4,BlockType.Alternating,2,19,19_st_4.wav,42.0
31,31,TrialType.Ostrava,4,BlockType.Alternating,2,40,40_d_4.wav,43.0
32,32,TrialType.Czech,4,BlockType.Alternating,2,112,112_st_4.wav,44.0
33,33,TrialType.Czech,1,BlockType.Homogenous,3,94,94_st_4.wav,11.0
34,34,TrialType.Czech,1,BlockType.Homogenous,3,10,10_st_4.wav,12.0
35,35,TrialType.Czech,1,BlockType.Homogenous,3,88,88_st_4.wav,13.0
36,36,TrialType.Czech,1,BlockType.Homogenous,3,43,43_st_4.wav,14.0
37,37,TrialType.Czech,2,BlockType.Alternating,3,61,61_st_4.wav,21.0
38,38,TrialType.Ostrava,2,BlockType.Alternating,3,72,72_d_4.wav,22.0
39,39,TrialType.Czech,2,BlockType.Alternating,3,129,129_st_4.wav,23.0
40,40,TrialType.Ostrava,2,BlockType.Alternating,3,122,122_d_4.wav,24.0
41,41,TrialType.Ostrava,3,BlockType.Homogenous,3,56,56_d_4.wav,31.0
42,42,TrialType.Ostrava,3,BlockType.Homogenous,3,41,41_d_4.wav,32.0
43,43,TrialType.Ostrava,3,BlockType.Homogenous,3,79,79_d_4.wav,33.0
44,44,TrialType.Ostrava,3,BlockType.Homogenous,3,82,82_d_4.wav,34.0
45,45,TrialType.Ostrava,4,BlockType.Alternating,3,27,27_d_4.wav,41.0
46,46,TrialType.Czech,4,BlockType.Alternating,3,71,71_st_4.wav,42.0
47,47,TrialType.Ostrava,4,BlockType.Alternating,3,123,123_d_4.wav,43.0
48,48,TrialType.Czech,4,BlockType.Alternating,3,57,57_st_4.wav,44.0
49,49,TrialType.Czech,1,BlockType.Homogenous,4,130,130_st_4.wav,11.0
50,50,TrialType.Czech,1,BlockType.Homogenous,4,34,34_st_4.wav,12.0
51,51,TrialType.Czech,1,BlockType.Homogenous,4,8,08_st_4.wav,13.0
52,52,TrialType.Czech,1,BlockType.Homogenous,4,87,87_st_4.wav,14.0
53,53,TrialType.Czech,2,BlockType.Alternating,4,2,02_st_4.wav,21.0
54,54,TrialType.Ostrava,2,BlockType.Alternating,4,12,12_d_4.wav,22.0
55,55,TrialType.Czech,2,BlockType.Alternating,4,128,128_st_4.wav,23.0
56,56,TrialType.Ostrava,2,BlockType.Alternating,4,1,01_d_4.wav,24.0
57,57,TrialType.Ostrava,3,BlockType.Homogenous,4,64,64_d_4.wav,31.0
58,58,TrialType.Ostrava,3,BlockType.Homogenous,4,113,113_d_4.wav,32.0
59,59,TrialType.Ostrava,3,BlockType.Homogenous,4,32,32_d_4.wav,33.0
60,60,TrialType.Ostrava,3,BlockType.Homogenous,4,42,42_d_4.wav,34.0
61,61,TrialType.Ostrava,4,BlockType.Alternating,4,9,09_d_4.wav,41.0
62,62,TrialType.Czech,4,BlockType.Alternating,4,25,25_st_4.wav,42.0
63,63,TrialType.Ostrava,4,BlockType.Alternating,4,29,29_d_4.wav,43.0
64,64,TrialType.Czech,4,BlockType.Alternating,4,31,31_st_4.wav,44.0
