trial,trial,condition,block_number,block_type,set_number,stimulus_number,stimulus,trigger
1,1,TrialType.Ostrava,4,BlockType.Alternating,1,23,23_d_4.wav,41.0
2,2,TrialType.Czech,4,BlockType.Alternating,1,56,56_st_4.wav,42.0
3,3,TrialType.Ostrava,4,BlockType.Alternating,1,103,103_d_4.wav,43.0
4,4,TrialType.Czech,4,BlockType.Alternating,1,46,46_st_4.wav,44.0
5,5,TrialType.Czech,1,BlockType.Homogenous,1,130,130_st_4.wav,11.0
6,6,TrialType.Czech,1,BlockType.Homogenous,1,122,122_st_4.wav,12.0
7,7,TrialType.Czech,1,BlockType.Homogenous,1,43,43_st_4.wav,13.0
8,8,TrialType.Czech,1,BlockType.Homogenous,1,37,37_st_4.wav,14.0
9,9,TrialType.Czech,2,BlockType.Alternating,1,24,24_st_4.wav,21.0
10,10,TrialType.Ostrava,2,BlockType.Alternating,1,110,110_d_4.wav,22.0
11,11,TrialType.Czech,2,BlockType.Alternating,1,82,82_st_4.wav,23.0
12,12,TrialType.Ostrava,2,BlockType.Alternating,1,55,55_d_4.wav,24.0
13,13,TrialType.Ostrava,3,BlockType.Homogenous,1,8,08_d_4.wav,31.0
14,14,TrialType.Ostrava,3,BlockType.Homogenous,1,87,87_d_4.wav,32.0
15,15,TrialType.Ostrava,3,BlockType.Homogenous,1,93,93_d_4.wav,33.0
16,16,TrialType.Ostrava,3,BlockType.Homogenous,1,113,113_d_4.wav,34.0
17,17,TrialType.Ostrava,4,BlockType.Alternating,2,105,105_d_4.wav,41.0
18,18,TrialType.Czech,4,BlockType.Alternating,2,111,111_st_4.wav,42.0
19,19,TrialType.Ostrava,4,BlockType.Alternating,2,78,78_d_4.wav,43.0
20,20,TrialType.Czech,4,BlockType.Alternating,2,132,132_st_4.wav,44.0
21,21,TrialType.Czech,1,BlockType.Homogenous,2,117,117_st_4.wav,11.0
22,22,TrialType.Czech,1,BlockType.Homogenous,2,17,17_st_4.wav,12.0
23,23,TrialType.Czech,1,BlockType.Homogenous,2,4,04_st_4.wav,13.0
24,24,TrialType.Czech,1,BlockType.Homogenous,2,61,61_st_4.wav,14.0
25,25,TrialType.Czech,2,BlockType.Alternating,2,128,128_st_4.wav,21.0
26,26,TrialType.Ostrava,2,BlockType.Alternating,2,97,97_d_4.wav,22.0
27,27,TrialType.Czech,2,BlockType.Alternating,2,44,44_st_4.wav,23.0
28,28,TrialType.Ostrava,2,BlockType.Alternating,2,58,58_d_4.wav,24.0
29,29,TrialType.Ostrava,3,BlockType.Homogenous,2,76,76_d_4.wav,31.0
30,30,TrialType.Ostrava,3,BlockType.Homogenous,2,30,30_d_4.wav,32.0
31,31,TrialType.Ostrava,3,BlockType.Homogenous,2,20,20_d_4.wav,33.0
32,32,TrialType.Ostrava,3,BlockType.Homogenous,2,45,45_d_4.wav,34.0
33,33,TrialType.Ostrava,4,BlockType.Alternating,3,125,125_d_4.wav,41.0
34,34,TrialType.Czech,4,BlockType.Alternating,3,114,114_st_4.wav,42.0
35,35,TrialType.Ostrava,4,BlockType.Alternating,3,15,15_d_4.wav,43.0
36,36,TrialType.Czech,4,BlockType.Alternating,3,42,42_st_4.wav,44.0
37,37,TrialType.Czech,1,BlockType.Homogenous,3,31,31_st_4.wav,11.0
38,38,TrialType.Czech,1,BlockType.Homogenous,3,83,83_st_4.wav,12.0
39,39,TrialType.Czech,1,BlockType.Homogenous,3,109,109_st_4.wav,13.0
40,40,TrialType.Czech,1,BlockType.Homogenous,3,68,68_st_4.wav,14.0
41,41,TrialType.Czech,2,BlockType.Alternating,3,63,63_st_4.wav,21.0
42,42,TrialType.Ostrava,2,BlockType.Alternating,3,101,101_d_4.wav,22.0
43,43,TrialType.Czech,2,BlockType.Alternating,3,84,84_st_4.wav,23.0
44,44,TrialType.Ostrava,2,BlockType.Alternating,3,108,108_d_4.wav,24.0
45,45,TrialType.Ostrava,3,BlockType.Homogenous,3,99,99_d_4.wav,31.0
46,46,TrialType.Ostrava,3,BlockType.Homogenous,3,53,53_d_4.wav,32.0
47,47,TrialType.Ostrava,3,BlockType.Homogenous,3,3,03_d_4.wav,33.0
48,48,TrialType.Ostrava,3,BlockType.Homogenous,3,19,19_d_4.wav,34.0
49,49,TrialType.Ostrava,4,BlockType.Alternating,4,127,127_d_4.wav,41.0
50,50,TrialType.Czech,4,BlockType.Alternating,4,59,59_st_4.wav,42.0
51,51,TrialType.Ostrava,4,BlockType.Alternating,4,47,47_d_4.wav,43.0
52,52,TrialType.Czech,4,BlockType.Alternating,4,48,48_st_4.wav,44.0
53,53,TrialType.Czech,1,BlockType.Homogenous,4,115,115_st_4.wav,11.0
54,54,TrialType.Czech,1,BlockType.Homogenous,4,79,79_st_4.wav,12.0
55,55,TrialType.Czech,1,BlockType.Homogenous,4,2,02_st_4.wav,13.0
